keyword,type,intent,priority,status,notes
roofing scam arizona,blog,informational,high,published,Week 1 - trust content
questions to ask roofing contractor,blog,informational,high,published,Week 1
storm chaser roofer arizona,blog,informational,high,published,Week 1
arizona roofing contractor license,blog,informational,medium,published,Week 1
roofing estimate vs contract,blog,informational,medium,published,Week 1
negotiate roof insurance claim,blog,informational,high,published,Week 2
hail damage roof arizona,blog,informational,high,published,Week 2 - Oct 2025 event relevant
how to file roof insurance claim,blog,informational,high,published,Week 2
roof damage insurance coverage arizona,blog,informational,high,published,Week 2
insurance adjuster lowball roof claim,blog,informational,high,published,Week 2
tile vs shingle roof arizona,blog,informational,high,published,Week 3 - evergreen
how long does a roof last arizona,blog,informational,high,published,Week 3
foam roofing arizona,blog,informational,medium,published,Week 3
metal roof arizona,blog,informational,medium,published,Week 3
roofing underlayment importance,blog,informational,medium,published,Week 3
roof replacement cost arizona 2026,blog,commercial,high,published,Week 4 - high intent
new roof home value arizona,blog,commercial,high,published,Week 4
how to get roofing bids,blog,informational,medium,published,Week 4
what does roofing estimate include,blog,informational,medium,published,Week 4
cost of delaying roof replacement,blog,informational,medium,published,Week 4
hoa roof replacement gilbert arizona,blog,informational,high,published,Week 4 - local
hoa roof approval chandler arizona,blog,informational,high,published,Week 4 - local
maricopa county roofing permit,blog,informational,medium,published,Week 4
gaf master elite certification,blog,informational,medium,published,Week 4
pre monsoon roof inspection arizona,blog,informational,high,published,Week 4 - seasonal
how long does roof replacement take,blog,informational,low,published,Week 5 - FAQ
spray foam over old roof,blog,informational,medium,queued,Week 5 - FAQ
roofer damaged my property,blog,informational,low,queued,Week 5 - FAQ
replace roof before selling house,blog,commercial,high,published,Week 5
how to tell if roof has hail damage,blog,informational,high,published,Week 5
roof replacement cost by square footage arizona,blog,commercial,high,published,Month 2
arizona roofing materials lifespan,blog,informational,medium,queued,Month 2
what causes roof failure arizona,blog,informational,medium,published,Month 2
how to read roofing warranty,blog,informational,medium,queued,Month 2
permits required roof replacement arizona,blog,informational,medium,published,Month 2
solar panel roof replacement arizona,blog,informational,medium,queued,Month 2
cool roof coating arizona,blog,informational,medium,published,Month 2
roof repair vs replacement,blog,commercial,high,published,Month 2
arizona roofing materials climate,blog,informational,medium,queued,Month 2
foam roofing mesa az,service,transactional,high,published,Month 2 - zipper
tile roof replacement gilbert az,service,transactional,high,published,Month 2 - zipper
shingle roof replacement chandler az,service,transactional,high,published,Month 2 - zipper
roof repair queen creek az,service,transactional,high,published,Month 2 - zipper
emergency roofing mesa az,service,transactional,high,published,Month 2 - zipper
storm damage roofing gilbert az,service,transactional,high,published,Month 2 - zipper
roof inspection chandler az,service,transactional,high,published,Month 2 - zipper
foam roofing gilbert az,service,transactional,high,published,Month 2 - zipper
tile roof replacement mesa az,service,transactional,high,published,Month 2 - zipper
shingle roof replacement tempe az,service,transactional,high,drafted,Month 2 - zipper
roof repair scottsdale az,service,transactional,high,queued,Month 2 - zipper
foam roofing chandler az,service,transactional,high,queued,Month 2 - zipper
tile roof replacement scottsdale az,service,transactional,high,queued,Month 2 - zipper
emergency roofing gilbert az,service,transactional,high,queued,Month 2 - zipper
roof inspection mesa az,service,transactional,high,queued,Month 2 - zipper
shingle roof replacement gilbert az,service,transactional,high,queued,Month 2 - zipper
foam roofing scottsdale az,service,transactional,medium,queued,Month 2 - zipper
tile roof replacement chandler az,service,transactional,medium,queued,Month 2 - zipper
roof replacement cost phoenix az,city,commercial,high,queued,Month 3 - national
roof installation cost tucson az,city,commercial,high,queued,Month 3 - national
roof replacement cost las vegas nv,city,commercial,high,queued,Month 3 - national
roof installation cost denver co,city,commercial,high,queued,Month 3 - national
roof replacement cost dallas tx,city,commercial,high,queued,Month 3 - national
roof installation cost houston tx,city,commercial,high,queued,Month 3 - national
roof replacement cost atlanta ga,city,commercial,high,queued,Month 3 - national
roof installation cost charlotte nc,city,commercial,high,queued,Month 3 - national
roof replacement cost tampa fl,city,commercial,high,queued,Month 3 - national
roof installation cost orlando fl,city,commercial,high,queued,Month 3 - national
roof replacement cost nashville tn,city,commercial,medium,queued,Month 3 - national
roof installation cost austin tx,city,commercial,medium,queued,Month 3 - national
roof replacement cost san antonio tx,city,commercial,medium,queued,Month 3 - national
roof installation cost albuquerque nm,city,commercial,medium,queued,Month 3 - national
roof replacement cost salt lake city ut,city,commercial,medium,queued,Month 3 - national
what is a fair price for roof replacement,faq,informational,high,queued,FAQ series
how much does it cost to reroof a 2000 sq ft house,faq,commercial,high,queued,FAQ series
can i get a new roof for free from insurance,faq,informational,high,queued,FAQ series
how long does it take to replace a roof on a house,faq,informational,medium,queued,FAQ series
what time of year is best to replace a roof,faq,informational,medium,queued,FAQ series
does homeowners insurance cover roof replacement,faq,informational,high,queued,FAQ series
how do i know if my roof needs to be replaced,faq,informational,high,queued,FAQ series
what voids a roof warranty,faq,informational,medium,queued,FAQ series
can you put new shingles over old shingles,faq,informational,medium,queued,FAQ series
how many layers of shingles can you have on a roof,faq,informational,low,queued,FAQ series
